,dates,titles,tag,descriptions
88,"December 8, 2020","Criminal aliens violate release conditions, reoffend after ICE is forced to reduce Adelanto ",|Enforcement and Removal,"ICE announced the release of dozens of criminal aliens from the Adelanto ICE Processing Center in Adelanto, California, in October due to a Central District of California judicial order. Some of those detainees have violated the terms of their release and have already been rearrested by local law enforcement."
89,"December 8, 2020","Stash house operator, drug dealer convicted following ICE investigation",|Narcotics,"Hugo Cristobal Garza-Ornelas, 35, from Mexico went before U.S. District Judge Ricardo Hinojosa to admit to possessing the cocaine for further distribution."
90,"December 7, 2020",San Bernardino County man who recorded child pornography on his social media accounts sentenced to 25 years following ICE investigation,|Child Exploitation,"Chaunta A. Bashir, a.k.a. “taytheonly,” 27, of Chino, was sentenced by U.S. District Judge Jesus G. Bernal. Bashir pleaded guilty on July 15 to one count of production of child pornography following an investigation by U.S. Immigration and Customs Enforcement’s Homeland Security Investigations (HSI) Los Angeles."
91,"December 7, 2020",ICE removes Russian fugitive convicted in US of $4.5 million wire fraud scheme,|Enforcement and Removal,"ICE’s Enforcement Removal Operations (ERO) officers escorted Stanislav Eduardovich Lisitskiy, 32, to Russia via an ICE Air Operation charter flight, before turning him over to Russian authorities at Sheremetyevo International Airport in Moscow."
92,"December 4, 2020",Human smuggling conviction following ICE investigation into deadly crash,|Human Smuggling/Trafficking,"This week, David Valadez, 27, from Laredo is expected to appear before a U.S. magistrate judge to be formally charged for conspiring to transport an illegal alien resulting in death."
93,"December 4, 2020","ICE investigation leads to conviction on exporting firearms, ammunition & explosive material ","|Firearms, Ammunition and Explosives",A Florida man was convicted Friday of aiding and abetting the export of defense articles from the United States.
94,"December 3, 2020","ICE, federal agents seize $3.5 million in cash and drugs at truck yard in Otay Mesa",|Narcotics,"Jesus Burgos Arias, Juan Alatorre Venegas, and Jose Yee Perez were arrested on Nov. 20, 2020, as a result of a broader long-term joint investigation led by Homeland Security Investigations, Drug Enforcement Administration, the San Diego Sheriff’s Department, San Diego Police Department, and the U.S. Attorney’s Office for the Southern District of California, targeting associates of the Sinaloa Cartel."
95,"December 2, 2020", ICE arrests 2 criminal aliens released by Maryland county after detainers not honored,|Enforcement and Removal,"ICE arrested two criminal aliens after their release by Prince George’s County, Maryland, despite each having immigration detainers. Those arrested include a member of MS-13 and a convicted sex offender. "
96,"December 2, 2020",ICE probe results in federal racketeering charges against members of Gardena street gang in alleged murder of man outside his home,|Transnational Gangs,"The federal complaint alleges that the murder of E.C. was committed to further the power of the Gardena 13 street gang, which is described in the affidavit as a criminal enterprise that has documented membership in California, Nevada, Texas, Hawaii and Rosarito, Mexico. The Gardena Police Department believes the gang distributes narcotics, primarily methamphetamine, both locally and in Hawaii.

"
97,"December 2, 2020",ICE utilizing New Intake Monitoring housing units to protect detainees from illness,|Enforcement and Removal,"In order to further protect those who live and work within the NWIPC, all incoming detainees who do not require isolation monitoring due to possible COVID-19 symptoms or exposure are placed into one of three separate NIMs housing units for 14 days of medical monitoring for signs or symptoms of COVID-19."
98,"December 1, 2020",ICE files detainer on man arrested for 1st degree murder,|Enforcement and Removal,"The defendant, Jorge Alexander Che-Quiab, 25, a former Deferred Action for Childhood Arrivals (DACA) recipient, stands accused of multiple felony charges, including murder and sexual assault of a child and is in the country unlawfully."
99,"November 30, 2020",ICE pivots to combat COVID-19 vaccine fraud with launch of Operation Stolen Promise 2.0,"|COVID-19, Intellectual Property Rights and Commercial Fraud","Despite widespread illness and death caused by COVID-19, many individuals and criminal networks are continuing to exploit the pandemic for illegal financial gains, using fraudulent schemes to source, produce, export or sell fake vaccines and related products, according to investigators."
100,"November 30, 2020",ICE HSI investigated Colorado man sentenced to prison for smuggling gun parts out of the US and possessing unregistered firearms,"|Firearms, Ammunition and Explosives","Michael John Suppes, 47, of Weld County, Colorado, agreed to a substantial forfeiture of assets that totaled nearly $300,000 in addition to his prison sentence. He also agreed to forfeit 123 firearms as well as firearm parts and ammunition."
101,"November 30, 2020",ICE investigation leads to federal imprisonment of South Texas woman for meth,|Narcotics,"According to court documents, Alma Rosa Salinas attempted entry into the United States Aug. 7, 2019 at the Los Ebanos Port of Entry driving a Ford F-150. She was referred to secondary inspection where a K-9 had alerted other officials to the presence of concealed narcotics. Once at the secondary inspection area, authorities found liquid meth hidden in the vehicle’s gas tank."
102,"November 25, 2020",ICE lodges detainer on man accused of child sex assault,|Enforcement and Removal,"Juan Ubaldo Guerra, 56, is a citizen of Guatemala living in the United States illegally. He was charged by the St. George Police Department with four counts of sexual assault on a child, a second-degree felony."
103,"November 24, 2020","ICE HSI investigation seizes $16.7 million in counterfeit drugs, products",|Intellectual Property Rights and Commercial Fraud,"This year’s operation nearly doubled the HSI New Orleans 2019 totals, which resulted in 33,000 items seized, valued at $8 million."
104,"November 24, 2020","IPR Center, Amazon launch ‘Operation Fulfilled Action’ to stop counterfeits",|Intellectual Property Rights and Commercial Fraud,The IPR Center and Amazon today announced the launch of a joint operation to prevent counterfeit goods from entering the U.S. and help protect American consumers.
105,"November 24, 2020",Criminal alien arrested for double homicide after local law enforcement fails to honor ICE immigration detainers,|Enforcement and Removal,"The alleged perpetrator, Fernando De Jesus Lopez-Garcia, is a repeat immigration offender with a significant criminal history spanning back nearly 15 years that includes convictions for battery of a spouse, assault with a deadly weapon, inflicting corporal injury on a spouse, battery of an officer, and vandalism. On Nov. 22, the San Jose Police Department arrested De Jesus Lopez-Garcia for two counts of murder, three counts of attempted murder, battery on a spouse or cohabitant and violation of a protective order. Officers from ICE’s Enforcement and Removal Operations (ERO) lodged an immigration detainer with the jail the following day."
106,"November 23, 2020",Computer forensic analysts celebrate 10-year Alive Day,"|Operational, Child Exploitation","Wondering what an Alive Day is? An Alive Day is the anniversary of the date when a veteran almost lost their life in combat.

"
107,"November 23, 2020",ICE removes unlawfully present Salvadoran national wanted for membership in terrorist organization ,|Enforcement and Removal,"Officers with U.S. Immigration and Customs Enforcement's (ICE) Enforcement and Removal Operations (ERO) in Houston, Texas, removed an unlawfully present Salvadoran national Friday wanted in El Salvador for membership in a terrorist organization. "
108,"November 23, 2020",ICE assists MAGNET – 17 indicted from AZ drug ring,|Narcotics,"A State Grand Jury indicted 17 individuals Nov. 23 for one count of conspiracy, one count of illegally conducting an enterprise, and various counts of possession of a dangerous drug (methamphetamine) for sale, possession of a narcotic drug (heroin) for sale in an amount over the statutory threshold, transportation of a narcotic drug (heroin) for sale in an amount over the statutory threshold, transportation of dangerous drugs (methamphetamine) for sale over the statutory threshold, and money laundering; in an investigation assisted by ICE’s HSI."
